station,time,waterMeasured
Innova-1,1689566400,8684.8
Innova-1,1689566402,7723.47
Innova-1,1689566404,8125.47
Innova-1,1689566406,7943.6
Innova-1,1689566409,9053.2
Innova-1,1689566411,7754.13
Innova-1,1689566414,9002.4
Innova-1,1689566416,8723.33
Innova-1,1689566418,7608.93
Innova-1,1689566422,12709.33
Innova-1,1689566424,8609.87
Innova-1,1689566427,8610.53
Innova-1,1689566429,8608
Innova-1,1689566432,8538
Innova-1,1689566434,7567.6
Innova-1,1689566436,8619.2
Innova-1,1689566438,7621.07
Innova-1,1689566441,8273.47
Innova-1,1689566443,7636.4
Innova-1,1689566445,8699.87
Innova-1,1689566448,7566
Innova-1,1689566450,8728.93
Innova-1,1689566452,7535.73
Innova-1,1689566454,7545.87
Innova-1,1689566456,7496.13
Innova-1,1689566459,8589.07
Innova-1,1689566461,7666.4
Innova-1,1689566463,7549.47
Innova-1,1689566466,8517.6
Innova-1,1689566468,7647.73
Innova-1,1689566470,8627.2
Innova-1,1689566473,8336.8
Innova-1,1689566475,7449.33
Innova-1,1689566477,8721.6
Innova-1,1689566480,8651.73
Innova-1,1689566482,7618.53
Innova-1,1689566484,8592
Innova-1,1689566487,8545.87
Innova-1,1689566489,7503.6
Innova-1,1689566491,7431.73
Innova-1,1689566493,8578.13
Innova-1,1689566496,8687.33
Innova-1,1689566498,7467.47
Innova-1,1689566500,7682
Innova-1,1689566502,7477.33
Innova-1,1689566505,8670.13
Innova-1,1689566507,7568.53
Innova-1,1689566509,8671.6
Innova-1,1689566512,8698.93
Innova-1,1689566514,8645.33
Innova-1,1689566517,7557.6
Innova-1,1689566519,7621.47
Innova-1,1689566522,12586.4
Innova-1,1689566524,7534.93
Innova-1,1689566527,7587.6
Innova-1,1689566529,7519.2
Innova-1,1689566531,8697.33
Innova-1,1689566533,7438
Innova-1,1689566536,8711.33
Innova-1,1689566538,7609.2
Innova-1,1689566540,8617.47
Innova-1,1689566543,7521.07
Innova-1,1689566545,8258.13
Innova-1,1689566547,7446.93
Innova-1,1689566551,15346.8
Innova-1,1689566554,7720.4
Innova-1,1689566556,8772.27
Innova-1,1689566558,7185.47
Innova-1,1689566561,8539.87
Innova-1,1689566563,7544.93
Innova-1,1689566565,8694
Innova-1,1689566567,7520.27
Innova-1,1689566570,8535.47
Innova-1,1689566572,8649.2
Innova-1,1689566574,7524.67
Innova-1,1689566577,7527.33
Innova-1,1689566579,7596.8
Innova-1,1689566581,7548.27
Innova-1,1689566583,7425.47
Innova-1,1689566587,12238.13
Innova-1,1689566589,7427.6
Innova-1,1689566591,7534.27
Innova-1,1689566593,7072.53
Innova-1,1689566595,8742.93
Innova-1,1689566598,8494.67
Innova-1,1689566600,8649.33
Innova-1,1689566602,7209.47
Innova-1,1689566604,7593.33
Innova-1,1689566607,9571.33
Innova-1,1689566609,7518.8
Innova-1,1689566612,7480.93
Innova-1,1689566614,7554.4
Innova-1,1689566616,8750.4
Innova-1,1689566618,7705.2
Innova-1,1689566621,8635.33
Innova-1,1689566623,7557.6
Innova-1,1689566625,8680.27
Innova-1,1689566628,7549.47
Innova-1,1689566630,7534.27
Innova-1,1689566632,7532.4
Innova-1,1689566634,8268.53
Innova-1,1689566637,8636.67
Innova-1,1689566639,7571.2
Innova-1,1689566641,8630.27
Innova-1,1689566645,11688
Innova-1,1689566647,7550.13
Innova-1,1689566650,10450.53
Innova-1,1689566652,7455.87
Innova-1,1689566654,7544.53
Innova-1,1689566657,8828.67
Innova-1,1689566659,8645.2
Innova-1,1689566661,8637.07
Innova-1,1689566664,8576.27
Innova-1,1689566666,7457.33
Innova-1,1689566669,11480.27
Innova-1,1689566671,7551.87
Innova-1,1689566674,7577.73
Innova-1,1689566676,7353.33
Innova-1,1689566678,8598.8
Innova-1,1689566680,7598.27
Innova-1,1689566682,7152.13
Innova-1,1689566687,15321.73
Innova-1,1689566689,7532.53
Innova-1,1689566691,7601.87
Innova-1,1689566693,7219.6
Innova-1,1689566695,7549.33
Innova-1,1689566697,7627.73
Innova-1,1689566700,8554.27
Innova-1,1689566702,7597.6
Innova-1,1689566705,10052.93
Innova-1,1689566707,8674.4
Innova-1,1689566710,7680.4
Innova-1,1689566712,7586.4
Innova-1,1689566714,8771.87
Innova-1,1689566716,7642.4
Innova-1,1689566718,7662.4
Innova-1,1689566721,8653.2
Innova-1,1689566723,8556.27
Innova-1,1689566726,10904.8
Innova-1,1689566729,7586.53
Innova-1,1689566731,8644.53
Innova-1,1689566734,11608.8
Innova-1,1689566737,9004.8
Innova-1,1689566741,13707.47
Innova-1,1689566744,12980.27
Innova-1,1689566747,7765.6
Innova-1,1689566749,7504
Innova-1,1689566751,7937.07
Innova-1,1689566753,8658.27
Innova-1,1689566756,8551.07
Innova-1,1689566758,7607.47
Innova-1,1689566760,7523.87
Innova-1,1689566762,7549.73
Innova-1,1689566765,7546.8
Innova-1,1689566767,7644.27
Innova-1,1689566770,11948.13
Innova-1,1689566773,8705.87
Innova-1,1689566775,10042
Innova-1,1689566778,8687.2
Innova-1,1689566780,7613.33
Innova-1,1689566782,8779.47
Innova-1,1689566785,8751.87
Innova-1,1689566788,11944.27
Innova-1,1689566790,7556.13
Innova-1,1689566793,7484.93
Innova-1,1689566795,8656.4
Innova-1,1689566797,7558.53
Innova-1,1689566800,8695.07
Innova-1,1689566802,7535.73
Innova-1,1689566804,8640.53
Innova-1,1689566806,7645.73
Innova-1,1689566809,7522.67
Innova-1,1689566811,8351.47
Innova-1,1689566813,7631.33
Innova-1,1689566816,8742.13
Innova-1,1689566819,11429.33
Innova-1,1689566821,8635.07
Innova-1,1689566825,12598.27
Innova-1,1689566827,7564.67
Innova-1,1689566829,7695.33
Innova-1,1689566832,10895.47
Innova-1,1689566834,7623.2
Innova-1,1689566837,7614.67
Innova-1,1689566839,7701.87
Innova-1,1689566841,7548.93
Innova-1,1689566843,7592.53
Innova-1,1689566845,8670.4
Innova-1,1689566848,7652.13
Innova-1,1689566850,7591.47
Innova-1,1689566852,7545.33
Innova-1,1689566854,8657.87
Innova-1,1689566856,7656.8
Innova-1,1689566859,10481.33
Innova-1,1689566862,7621.6
Innova-1,1689566864,8742.27
Innova-1,1689566867,8783.6
Innova-1,1689566869,8361.07
Innova-1,1689566871,7646.53
Innova-1,1689566873,8664.67
Innova-1,1689566876,7618.53
Innova-1,1689566878,9082.8
Innova-1,1689566881,8321.47
Innova-1,1689566883,7575.73
Innova-1,1689566885,7545.73
Innova-1,1689566887,8771.6
Innova-1,1689566890,8254.4
Innova-1,1689566892,7603.73
Innova-1,1689566894,7684
Innova-1,1689566896,7427.07
Innova-1,1689566898,7554.13
Innova-1,1689566900,7600.13
Innova-1,1689566903,7605.73
Innova-1,1689566905,8557.73
Innova-1,1689566908,11386
Innova-1,1689566911,8516
Innova-1,1689566913,8235.33
Innova-1,1689566915,7590.53
Innova-1,1689566919,12233.47
Innova-1,1689566921,8557.87
Innova-1,1689566923,7457.47
Innova-1,1689566926,7608.53
Innova-1,1689566928,8573.47
Innova-1,1689566930,8571.87
Innova-1,1689566933,7462.53
Innova-1,1689566936,11846.13
Innova-1,1689566939,8964.8
Innova-1,1689566941,7743.47
Innova-1,1689566944,10977.73
Innova-1,1689566946,8642.53
Innova-1,1689566948,7546.8
Innova-1,1689566951,7733.73
Innova-1,1689566953,8233.47
Innova-1,1689566956,8644.4
Innova-1,1689566958,8648
Innova-1,1689566960,7612
Innova-1,1689566962,7477.07
Innova-1,1689566964,7509.73
Innova-1,1689566967,7480.8
Innova-1,1689566969,7505.33
Innova-1,1689566971,8936.13
Innova-1,1689566973,7573.2
Innova-1,1689566976,10071.07
Innova-1,1689566979,8508.13
Innova-1,1689566981,8633.07
Innova-1,1689566984,8708.13
Innova-1,1689566986,7941.6
Innova-1,1689566988,7966
Innova-1,1689566990,7463.33
Innova-1,1689566992,7528.13
Innova-1,1689566995,7649.6
Innova-1,1689566998,11125.2
Innova-1,1689567000,8332.4
Innova-1,1689567003,8596.13
Innova-1,1689567005,7576.53
Innova-1,1689567011,23451.6
Innova-1,1689567014,7576.8
Innova-1,1689567016,7628.13
Innova-1,1689567018,7599.87
Innova-1,1689567020,7457.07
Innova-1,1689567022,7590.27
