station,time,waterMeasured
Innova-1,1689719806,67.07
Innova-1,1689719808,23.87
Innova-1,1689719811,20.93
Innova-1,1689719813,19.47
Innova-1,1689719815,19.87
Innova-1,1689719817,20
Innova-1,1689719819,22.27
Innova-1,1689719821,19.07
Innova-1,1689719824,18.93
Innova-1,1689719826,18.8
Innova-1,1689719828,19.6
Innova-1,1689719830,18.8
Innova-1,1689719832,20.8
Innova-1,1689719835,23.2
Innova-1,1689719839,28.27
Innova-1,1689719841,18.27
Innova-1,1689719843,17.33
Innova-1,1689719845,19.47
Innova-1,1689719847,16.4
Innova-1,1689719849,15.33
Innova-1,1689719852,15.6
Innova-1,1689719854,15.47
Innova-1,1689719857,20.67
Innova-1,1689719859,14
Innova-1,1689719861,16.93
Innova-1,1689719863,15.6
Innova-1,1689719865,13.2
Innova-1,1689719867,17.07
Innova-1,1689719870,14.53
Innova-1,1689719872,15.33
Innova-1,1689719874,16.67
Innova-1,1689719876,14.67
Innova-1,1689719878,16.67
Innova-1,1689719880,15.47
Innova-1,1689719882,15.07
Innova-1,1689719885,16.53
Innova-1,1689719887,15.07
Innova-1,1689719890,22.4
Innova-1,1689719892,13.47
Innova-1,1689719895,13.87
Innova-1,1689719897,14.13
Innova-1,1689719899,15.47
Innova-1,1689719901,14.13
Innova-1,1689719903,13.73
Innova-1,1689719905,13.2
Innova-1,1689719907,13.47
Innova-1,1689719909,16.4
Innova-1,1689719912,14.8
Innova-1,1689719914,13.73
Innova-1,1689719916,13.33
Innova-1,1689719918,13.87
Innova-1,1689719921,19.6
Innova-1,1689719923,14
Innova-1,1689719926,12.93
Innova-1,1689719928,14.8
Innova-1,1689719930,12.8
Innova-1,1689719936,39.2
Innova-1,1689719938,11.47
Innova-1,1689719941,11.6
Innova-1,1689719943,13.07
Innova-1,1689719945,13.47
Innova-1,1689719951,35.07
Innova-1,1689719953,13.6
Innova-1,1689719956,11.2
Innova-1,1689719958,11.6
Innova-1,1689719960,11.73
Innova-1,1689719962,12.8
Innova-1,1689719964,11.2
Innova-1,1689719966,12.27
Innova-1,1689719968,12.93
Innova-1,1689719971,9.47
Innova-1,1689719973,11.47
Innova-1,1689719975,11.6
Innova-1,1689719977,8.67
Innova-1,1689719980,16.13
Innova-1,1689719982,12.93
Innova-1,1689719984,11.6
Innova-1,1689719986,10.93
Innova-1,1689719989,12.67
Innova-1,1689719992,17.47
Innova-1,1689719994,10.8
Innova-1,1689719996,10.4
Innova-1,1689719998,10.4
Innova-1,1689720001,9.73
Innova-1,1689720003,11.2
Innova-1,1689720007,20.67
