station,time,waterMeasured
Innova-1,1691380801,0
Innova-1,1691380803,0
Innova-1,1691380805,0
Innova-1,1691380807,0
Innova-1,1691380810,0
Innova-1,1691380812,0
Innova-1,1691380814,0
Innova-1,1691380816,0
Innova-1,1691380818,0
Innova-1,1691380820,0
Innova-1,1691380822,0
Innova-1,1691380825,0
Innova-1,1691380827,0
Innova-1,1691380829,0
Innova-1,1691380831,0
Innova-1,1691380833,0
Innova-1,1691380835,0
Innova-1,1691380838,0
Innova-1,1691380840,0
Innova-1,1691380842,0
Innova-1,1691380844,0
Innova-1,1691380846,0
Innova-1,1691380848,0
Innova-1,1691380850,0
Innova-1,1691380852,0
Innova-1,1691380855,0
Innova-1,1691380857,0
Innova-1,1691380859,0
Innova-1,1691380861,0
Innova-1,1691380863,0
Innova-1,1691380866,0
Innova-1,1691380868,0
Innova-1,1691380870,0
Innova-1,1691380872,0
Innova-1,1691380874,0
Innova-1,1691380876,0
Innova-1,1691380878,0
Innova-1,1691380881,0
Innova-1,1691380883,0
Innova-1,1691380885,0
Innova-1,1691380887,0
Innova-1,1691380889,0
Innova-1,1691380891,0
Innova-1,1691380894,0
Innova-1,1691380896,0
Innova-1,1691380898,0
Innova-1,1691380900,0
Innova-1,1691380902,0
Innova-1,1691380904,0
Innova-1,1691380906,0
Innova-1,1691380909,0
Innova-1,1691380911,0
Innova-1,1691380913,0
Innova-1,1691380915,0
Innova-1,1691380917,0
Innova-1,1691380919,0
Innova-1,1691380921,0
Innova-1,1691380923,0
Innova-1,1691380925,0
Innova-1,1691380928,0
Innova-1,1691380930,0
Innova-1,1691380932,0
Innova-1,1691380934,0
Innova-1,1691380936,0
Innova-1,1691380938,0
Innova-1,1691380940,0
Innova-1,1691380943,0
Innova-1,1691380945,0
Innova-1,1691380947,0
Innova-1,1691380949,0
Innova-1,1691380951,0
Innova-1,1691380953,0
Innova-1,1691380956,0
Innova-1,1691380958,0
Innova-1,1691380960,0
Innova-1,1691380962,0
Innova-1,1691380964,0
Innova-1,1691380966,0
Innova-1,1691380968,0
Innova-1,1691380970,0
Innova-1,1691380973,0
Innova-1,1691380975,0
Innova-1,1691380977,0
Innova-1,1691380979,0
Innova-1,1691380981,0
Innova-1,1691380983,0
Innova-1,1691380985,0
Innova-1,1691380988,0
Innova-1,1691380990,0
Innova-1,1691380992,0
Innova-1,1691380994,0
Innova-1,1691380996,0
Innova-1,1691380998,0
Innova-1,1691381000,0
Innova-1,1691381003,0
Innova-1,1691381005,0
Innova-1,1691381007,0
Innova-1,1691381009,0
Innova-1,1691381011,0
Innova-1,1691381013,0
Innova-1,1691381015,0
Innova-1,1691381017,0
Innova-1,1691381020,0
Innova-1,1691381022,0
Innova-1,1691381024,0
Innova-1,1691381026,0
Innova-1,1691381028,0
Innova-1,1691381030,0
Innova-1,1691381032,0
Innova-1,1691381034,0
Innova-1,1691381036,0
Innova-1,1691381039,0
Innova-1,1691381041,0
Innova-1,1691381043,0
Innova-1,1691381045,0
Innova-1,1691381047,0
Innova-1,1691381049,0
Innova-1,1691381051,0
Innova-1,1691381054,0
Innova-1,1691381056,0
Innova-1,1691381058,0
Innova-1,1691381060,0
Innova-1,1691381062,0
Innova-1,1691381064,0
Innova-1,1691381066,0
Innova-1,1691381068,0
Innova-1,1691381071,0
Innova-1,1691381073,0
Innova-1,1691381075,0
Innova-1,1691381077,0
Innova-1,1691381079,0
Innova-1,1691381081,0
Innova-1,1691381083,0
Innova-1,1691381085,0
Innova-1,1691381087,0
Innova-1,1691381090,0
Innova-1,1691381092,0
Innova-1,1691381094,0
Innova-1,1691381096,0
Innova-1,1691381098,0
Innova-1,1691381100,0
Innova-1,1691381103,0
Innova-1,1691381105,0
Innova-1,1691381107,0
Innova-1,1691381109,0
Innova-1,1691381111,0
Innova-1,1691381113,0
Innova-1,1691381115,0
Innova-1,1691381118,0
Innova-1,1691381120,0
Innova-1,1691381122,0
Innova-1,1691381124,0
Innova-1,1691381126,0
Innova-1,1691381128,0
Innova-1,1691381131,0
Innova-1,1691381133,0
Innova-1,1691381135,0
Innova-1,1691381137,0
Innova-1,1691381139,0
Innova-1,1691381141,0
Innova-1,1691381143,0
Innova-1,1691381145,0
Innova-1,1691381148,0
Innova-1,1691381150,0
Innova-1,1691381152,0
Innova-1,1691381155,0
Innova-1,1691381157,0
Innova-1,1691381159,0
Innova-1,1691381161,0
Innova-1,1691381163,0
Innova-1,1691381165,0
Innova-1,1691381168,0
Innova-1,1691381170,0
Innova-1,1691381172,0
Innova-1,1691381174,0
Innova-1,1691381176,0
Innova-1,1691381178,0
Innova-1,1691381180,0
Innova-1,1691381182,0
Innova-1,1691381185,0
Innova-1,1691381187,0
Innova-1,1691381189,0
Innova-1,1691381191,0
Innova-1,1691381193,0
Innova-1,1691381195,0
Innova-1,1691381197,0
Innova-1,1691381200,0
Innova-1,1691381202,0
Innova-1,1691381204,0
Innova-1,1691381206,0
Innova-1,1691381208,0
Innova-1,1691381210,0
Innova-1,1691381213,0
Innova-1,1691381215,0
Innova-1,1691381217,0
Innova-1,1691381219,0
Innova-1,1691381221,0
Innova-1,1691381223,0
Innova-1,1691381225,0
Innova-1,1691381227,0
Innova-1,1691381230,0
Innova-1,1691381232,0
Innova-1,1691381234,0
Innova-1,1691381236,0
Innova-1,1691381238,0
Innova-1,1691381240,0
Innova-1,1691381242,0
Innova-1,1691381244,0
Innova-1,1691381247,0
Innova-1,1691381249,0
Innova-1,1691381251,0
Innova-1,1691381253,0
Innova-1,1691381255,0
Innova-1,1691381257,0
Innova-1,1691381259,0
Innova-1,1691381262,0
Innova-1,1691381264,0
Innova-1,1691381266,0
Innova-1,1691381268,0
Innova-1,1691381270,0
Innova-1,1691381272,0
Innova-1,1691381274,0
Innova-1,1691381277,0
Innova-1,1691381279,0
Innova-1,1691381281,0
Innova-1,1691381283,0
Innova-1,1691381285,0
Innova-1,1691381287,0
Innova-1,1691381289,0
Innova-1,1691381292,0
Innova-1,1691381294,0
Innova-1,1691381296,0
Innova-1,1691381298,0
Innova-1,1691381300,0
Innova-1,1691381302,0
Innova-1,1691381304,0
Innova-1,1691381307,0
Innova-1,1691381309,0
Innova-1,1691381311,0
Innova-1,1691381313,0
Innova-1,1691381315,0
Innova-1,1691381317,0
Innova-1,1691381319,0
Innova-1,1691381321,0
Innova-1,1691381324,0
Innova-1,1691381326,0
Innova-1,1691381328,0
Innova-1,1691381330,0
Innova-1,1691381332,0
Innova-1,1691381334,0
Innova-1,1691381337,0
Innova-1,1691381339,0
Innova-1,1691381341,0
Innova-1,1691381343,0
Innova-1,1691381345,0
Innova-1,1691381347,0
