station,time,waterMeasured
Innova-1,1693065600,0
Innova-1,1693065602,0
Innova-1,1693065604,0
Innova-1,1693065607,0
Innova-1,1693065609,0
Innova-1,1693065611,0
Innova-1,1693065613,0
Innova-1,1693065616,0
Innova-1,1693065618,0
Innova-1,1693065620,0
Innova-1,1693065622,0
Innova-1,1693065625,0
Innova-1,1693065627,0
Innova-1,1693065629,0
Innova-1,1693065631,0
Innova-1,1693065633,0
Innova-1,1693065636,0
Innova-1,1693065638,0
Innova-1,1693065640,0
Innova-1,1693065642,0
Innova-1,1693065644,0
Innova-1,1693065646,0
Innova-1,1693065649,0
Innova-1,1693065651,0
Innova-1,1693065653,0
Innova-1,1693065656,0
Innova-1,1693065658,0
Innova-1,1693065660,0
Innova-1,1693065662,0
Innova-1,1693065664,0
Innova-1,1693065667,0
Innova-1,1693065669,0
Innova-1,1693065671,0
Innova-1,1693065673,0
Innova-1,1693065676,0
Innova-1,1693065678,0
Innova-1,1693065680,0
Innova-1,1693065682,0
Innova-1,1693065684,0
Innova-1,1693065686,0
Innova-1,1693065688,0
Innova-1,1693065691,0
Innova-1,1693065693,0
Innova-1,1693065695,0
Innova-1,1693065697,0
Innova-1,1693065699,0
Innova-1,1693065701,0
Innova-1,1693065704,0
Innova-1,1693065706,0
Innova-1,1693065708,0
Innova-1,1693065710,0
Innova-1,1693065712,0
Innova-1,1693065714,0
Innova-1,1693065717,0
Innova-1,1693065719,0
Innova-1,1693065721,0
Innova-1,1693065723,0
Innova-1,1693065725,0
Innova-1,1693065728,0
Innova-1,1693065730,0
Innova-1,1693065732,0
Innova-1,1693065734,0
Innova-1,1693065737,0
Innova-1,1693065739,0
Innova-1,1693065741,0
Innova-1,1693065744,0
Innova-1,1693065746,0
Innova-1,1693065748,0
Innova-1,1693065750,0
Innova-1,1693065752,0
Innova-1,1693065754,0
Innova-1,1693065758,0
Innova-1,1693065760,0
Innova-1,1693065762,0
Innova-1,1693065764,0
Innova-1,1693065767,0
Innova-1,1693065769,0
Innova-1,1693065771,0
Innova-1,1693065773,0
Innova-1,1693065779,0
Innova-1,1693065781,0
Innova-1,1693065783,0
Innova-1,1693065786,0
Innova-1,1693065788,0
Innova-1,1693065790,0
Innova-1,1693065792,0
Innova-1,1693065794,0
Innova-1,1693065797,0
Innova-1,1693065799,0
Innova-1,1693065801,0
Innova-1,1693065803,0
Innova-1,1693065805,0
Innova-1,1693065808,0
Innova-1,1693065810,0
Innova-1,1693065812,0
Innova-1,1693065814,0
Innova-1,1693065816,0
Innova-1,1693065819,0
Innova-1,1693065821,0
Innova-1,1693065823,0
Innova-1,1693065825,0
Innova-1,1693065827,0
Innova-1,1693065829,0
Innova-1,1693065832,0
Innova-1,1693065834,0
Innova-1,1693065836,0
Innova-1,1693065838,0
Innova-1,1693065841,0
Innova-1,1693065848,0
Innova-1,1693065850,0
Innova-1,1693065852,0
Innova-1,1693065854,0
Innova-1,1693065856,0
Innova-1,1693065859,0
Innova-1,1693065861,0
Innova-1,1693065863,0
Innova-1,1693065865,0
Innova-1,1693065868,0
Innova-1,1693065870,0
Innova-1,1693065872,0
Innova-1,1693065874,0
Innova-1,1693065877,0
Innova-1,1693065879,0
Innova-1,1693065882,0
Innova-1,1693065884,0
Innova-1,1693065886,0
Innova-1,1693065892,0
Innova-1,1693065894,0
Innova-1,1693065896,0
Innova-1,1693065899,0
Innova-1,1693065901,0
Innova-1,1693065908,0
Innova-1,1693065910,0
Innova-1,1693065912,0
Innova-1,1693065914,0
Innova-1,1693065916,0
Innova-1,1693065918,0
Innova-1,1693065922,0
Innova-1,1693065925,0
Innova-1,1693065928,0
Innova-1,1693065930,0
Innova-1,1693065932,0
Innova-1,1693065934,0
Innova-1,1693065937,0
Innova-1,1693065939,0
Innova-1,1693065941,0
Innova-1,1693065943,0
Innova-1,1693065945,0
Innova-1,1693065954,0
Innova-1,1693065956,0
Innova-1,1693065958,0
Innova-1,1693065961,0
Innova-1,1693065963,0
Innova-1,1693065965,0
Innova-1,1693065967,0
Innova-1,1693065974,0
Innova-1,1693065976,0
Innova-1,1693065978,0
Innova-1,1693065981,0
Innova-1,1693065983,0
Innova-1,1693065985,0
Innova-1,1693065993,0
Innova-1,1693065995,0
Innova-1,1693065998,0
Innova-1,1693066000,0
Innova-1,1693066002,0
Innova-1,1693066004,0
Innova-1,1693066012,0
Innova-1,1693066014,0
Innova-1,1693066016,0
Innova-1,1693066018,0
Innova-1,1693066021,0
Innova-1,1693066029,0
Innova-1,1693066035,0
Innova-1,1693066040,0
Innova-1,1693066048,0
Innova-1,1693066051,0
Innova-1,1693066053,0
