station,time,waterMeasured
Innova-1,1693540806,0
Innova-1,1693540808,0
Innova-1,1693540811,0
Innova-1,1693540813,0
Innova-1,1693540815,0
Innova-1,1693540817,0
Innova-1,1693540820,0
Innova-1,1693540822,0
Innova-1,1693540824,0
Innova-1,1693540826,0
Innova-1,1693540828,0
Innova-1,1693540830,0
Innova-1,1693540832,0
Innova-1,1693540835,0
Innova-1,1693540837,0
Innova-1,1693540840,0
Innova-1,1693540842,0
Innova-1,1693540844,0
Innova-1,1693540846,0
Innova-1,1693540849,0
Innova-1,1693540851,0
Innova-1,1693540853,0
Innova-1,1693540855,0
Innova-1,1693540858,0
Innova-1,1693540860,0
Innova-1,1693540862,0
Innova-1,1693540864,0
Innova-1,1693540866,0
Innova-1,1693540868,0
Innova-1,1693540871,0
Innova-1,1693540873,0
Innova-1,1693540875,0
Innova-1,1693540877,0
Innova-1,1693540879,0
Innova-1,1693540881,0
Innova-1,1693540884,0
Innova-1,1693540886,0
Innova-1,1693540888,0
Innova-1,1693540890,0
Innova-1,1693540894,0
Innova-1,1693540896,0
Innova-1,1693540898,0
Innova-1,1693540901,0
Innova-1,1693540903,0
Innova-1,1693540905,0
Innova-1,1693540908,0
Innova-1,1693540910,0
Innova-1,1693540912,0
Innova-1,1693540914,0
Innova-1,1693540916,0
Innova-1,1693540918,0
Innova-1,1693540920,0
Innova-1,1693540922,0
Innova-1,1693540930,0
Innova-1,1693540932,0
Innova-1,1693540934,0
Innova-1,1693540936,0
Innova-1,1693540938,0
Innova-1,1693540940,0
Innova-1,1693540943,0
Innova-1,1693540945,0
Innova-1,1693540947,0
Innova-1,1693540950,0
Innova-1,1693540954,0
Innova-1,1693540956,0
Innova-1,1693540958,0
Innova-1,1693540960,0
Innova-1,1693540963,0
Innova-1,1693540965,0
Innova-1,1693540971,0
Innova-1,1693540973,0
Innova-1,1693540975,0
Innova-1,1693540977,0
Innova-1,1693540980,0
Innova-1,1693540982,0
Innova-1,1693540985,0
Innova-1,1693540987,0
Innova-1,1693540990,0
Innova-1,1693540992,0
Innova-1,1693540994,0
Innova-1,1693540996,0
Innova-1,1693540998,0
Innova-1,1693541001,0
Innova-1,1693541003,0
Innova-1,1693541005,0
Innova-1,1693541011,0
Innova-1,1693541013,0
Innova-1,1693541016,0
Innova-1,1693541018,0
Innova-1,1693541020,0
Innova-1,1693541025,0
Innova-1,1693541027,0
Innova-1,1693541029,0
Innova-1,1693541031,0
Innova-1,1693541033,0
Innova-1,1693541036,0
Innova-1,1693541038,0
Innova-1,1693541040,0
Innova-1,1693541042,0
Innova-1,1693541044,0
Innova-1,1693541047,0
Innova-1,1693541049,0
Innova-1,1693541051,0
Innova-1,1693541055,0
Innova-1,1693541057,0
Innova-1,1693541060,0
Innova-1,1693541062,0
Innova-1,1693541064,0
Innova-1,1693541066,0
Innova-1,1693541068,0
Innova-1,1693541070,0
Innova-1,1693541073,0
Innova-1,1693541075,0
Innova-1,1693541077,0
