station,time,waterMeasured
Innova-1,1693584002,0
Innova-1,1693584013,0
Innova-1,1693584020,0
Innova-1,1693584022,0
Innova-1,1693584024,0
Innova-1,1693584027,0
Innova-1,1693584033,0
Innova-1,1693584035,0
Innova-1,1693584038,0
Innova-1,1693584040,0
Innova-1,1693584042,0
Innova-1,1693584044,0
Innova-1,1693584046,0
Innova-1,1693584049,0
Innova-1,1693584051,0
Innova-1,1693584053,0
Innova-1,1693584055,0
Innova-1,1693584057,0
Innova-1,1693584059,0
Innova-1,1693584061,0
Innova-1,1693584063,0
Innova-1,1693584066,0
Innova-1,1693584068,0
Innova-1,1693584070,0
Innova-1,1693584072,0
Innova-1,1693584074,0
Innova-1,1693584078,0
Innova-1,1693584080,0
Innova-1,1693584082,0
Innova-1,1693584084,0
Innova-1,1693584088,0
Innova-1,1693584090,0
Innova-1,1693584092,0
Innova-1,1693584095,0
Innova-1,1693584099,0
Innova-1,1693584101,0
Innova-1,1693584103,0
Innova-1,1693584105,0
Innova-1,1693584109,0
Innova-1,1693584111,0
Innova-1,1693584113,0
Innova-1,1693584116,0
Innova-1,1693584119,0
Innova-1,1693584122,0
Innova-1,1693584124,0
Innova-1,1693584127,0
Innova-1,1693584129,0
Innova-1,1693584131,0
Innova-1,1693584134,0
Innova-1,1693584136,0
Innova-1,1693584140,0
Innova-1,1693584144,0
Innova-1,1693584147,0
Innova-1,1693584156,0
Innova-1,1693584166,0
Innova-1,1693584176,0
Innova-1,1693584186,0
Innova-1,1693584189,0
Innova-1,1693584191,0
Innova-1,1693584196,0
Innova-1,1693584287,0
Innova-1,1693584298,0
Innova-1,1693584300,0
Innova-1,1693584302,0
Innova-1,1693584305,0
Innova-1,1693584307,0
Innova-1,1693584309,0
Innova-1,1693584312,0
Innova-1,1693584315,0
Innova-1,1693584317,0
Innova-1,1693584319,0
Innova-1,1693584322,0
Innova-1,1693584324,0
Innova-1,1693584326,0
Innova-1,1693584328,0
Innova-1,1693584330,0
Innova-1,1693584336,0
Innova-1,1693584338,0
Innova-1,1693584340,0
Innova-1,1693584343,0
Innova-1,1693584346,0
Innova-1,1693584348,0
Innova-1,1693584350,0
Innova-1,1693584352,0
Innova-1,1693584355,0
Innova-1,1693584359,0
Innova-1,1693584362,0
Innova-1,1693584364,0
Innova-1,1693584366,0
Innova-1,1693584369,0
Innova-1,1693584371,0
Innova-1,1693584373,0
Innova-1,1693584375,0
Innova-1,1693584378,0
Innova-1,1693584380,0
Innova-1,1693584382,0
Innova-1,1693584384,0
Innova-1,1693584387,0
Innova-1,1693584390,0
Innova-1,1693584392,0
Innova-1,1693584394,0
Innova-1,1693584399,0
Innova-1,1693584402,0
Innova-1,1693584404,0
Innova-1,1693584406,0
Innova-1,1693584410,0
Innova-1,1693584412,0
Innova-1,1693584415,0
Innova-1,1693584421,0
Innova-1,1693584425,0
Innova-1,1693584427,0
Innova-1,1693584429,0
Innova-1,1693584434,0
Innova-1,1693584436,0
Innova-1,1693584439,0
Innova-1,1693584441,0
Innova-1,1693584445,0
Innova-1,1693584447,0
Innova-1,1693584450,0
Innova-1,1693584456,0
Innova-1,1693584459,0
Innova-1,1693584461,0
