time,station,waterMeasured
1693540806,Innova-1,0.0
1693540808,Innova-1,0.0
1693540811,Innova-1,0.0
1693540813,Innova-1,0.0
1693540815,Innova-1,0.0
1693540817,Innova-1,0.0
1693540820,Innova-1,0.0
1693540822,Innova-1,0.0
1693540824,Innova-1,0.0
1693540826,Innova-1,0.0
1693540828,Innova-1,0.0
1693540830,Innova-1,0.0
1693540832,Innova-1,0.0
1693540835,Innova-1,0.0
1693540837,Innova-1,0.0
1693540840,Innova-1,0.0
1693540842,Innova-1,0.0
1693540844,Innova-1,0.0
1693540846,Innova-1,0.0
1693540849,Innova-1,0.0
1693540851,Innova-1,0.0
1693540853,Innova-1,0.0
1693540855,Innova-1,0.0
1693540858,Innova-1,0.0
1693540860,Innova-1,0.0
1693540862,Innova-1,0.0
1693540864,Innova-1,0.0
1693540866,Innova-1,0.0
1693540868,Innova-1,0.0
1693540871,Innova-1,0.0
1693540873,Innova-1,0.0
1693540875,Innova-1,0.0
1693540877,Innova-1,0.0
1693540879,Innova-1,0.0
1693540881,Innova-1,0.0
1693540884,Innova-1,0.0
1693540886,Innova-1,0.0
1693540888,Innova-1,0.0
1693540890,Innova-1,0.0
1693540894,Innova-1,0.0
1693540896,Innova-1,0.0
1693540898,Innova-1,0.0
1693540901,Innova-1,0.0
1693540903,Innova-1,0.0
1693540905,Innova-1,0.0
1693540908,Innova-1,0.0
1693540910,Innova-1,0.0
1693540912,Innova-1,0.0
1693540914,Innova-1,0.0
1693540916,Innova-1,0.0
1693540918,Innova-1,0.0
1693540920,Innova-1,0.0
1693540922,Innova-1,0.0
1693540930,Innova-1,0.0
1693540932,Innova-1,0.0
1693540934,Innova-1,0.0
1693540936,Innova-1,0.0
1693540938,Innova-1,0.0
1693540940,Innova-1,0.0
1693540943,Innova-1,0.0
1693540945,Innova-1,0.0
1693540947,Innova-1,0.0
1693540950,Innova-1,0.0
1693540954,Innova-1,0.0
1693540956,Innova-1,0.0
1693540958,Innova-1,0.0
1693540960,Innova-1,0.0
1693540963,Innova-1,0.0
1693540965,Innova-1,0.0
1693540971,Innova-1,0.0
1693540973,Innova-1,0.0
1693540975,Innova-1,0.0
1693540977,Innova-1,0.0
1693540980,Innova-1,0.0
1693540982,Innova-1,0.0
1693540985,Innova-1,0.0
1693540987,Innova-1,0.0
1693540990,Innova-1,0.0
1693540992,Innova-1,0.0
1693540994,Innova-1,0.0
1693540996,Innova-1,0.0
1693540998,Innova-1,0.0
1693541001,Innova-1,0.0
1693541003,Innova-1,0.0
1693541005,Innova-1,0.0
1693541011,Innova-1,0.0
1693541013,Innova-1,0.0
1693541016,Innova-1,0.0
1693541018,Innova-1,0.0
1693541020,Innova-1,0.0
1693541025,Innova-1,0.0
1693541027,Innova-1,0.0
1693541029,Innova-1,0.0
1693541031,Innova-1,0.0
1693541033,Innova-1,0.0
1693541036,Innova-1,0.0
1693541038,Innova-1,0.0
1693541040,Innova-1,0.0
1693541042,Innova-1,0.0
1693541044,Innova-1,0.0
1693541047,Innova-1,0.0
1693541049,Innova-1,0.0
1693541051,Innova-1,0.0
1693541055,Innova-1,0.0
1693541057,Innova-1,0.0
1693541060,Innova-1,0.0
1693541062,Innova-1,0.0
1693541064,Innova-1,0.0
1693541066,Innova-1,0.0
1693541068,Innova-1,0.0
1693541070,Innova-1,0.0
1693541073,Innova-1,0.0
1693541075,Innova-1,0.0
1693541077,Innova-1,0.0
1693541079,Innova-1,0.0
1693541082,Innova-1,0.0
1693541084,Innova-1,0.0
1693541087,Innova-1,0.0
1693541089,Innova-1,0.0
1693541091,Innova-1,0.0
1693541093,Innova-1,0.0
1693541095,Innova-1,0.0
1693541097,Innova-1,0.0
1693541100,Innova-1,0.0
1693541102,Innova-1,0.0
1693541107,Innova-1,0.0
1693541109,Innova-1,0.0
1693541111,Innova-1,0.0
1693541113,Innova-1,0.0
1693541116,Innova-1,0.0
1693541118,Innova-1,0.0
1693541120,Innova-1,0.0
1693541122,Innova-1,0.0
1693541124,Innova-1,0.0
1693541126,Innova-1,0.0
1693541129,Innova-1,0.0
1693541131,Innova-1,0.0
1693541133,Innova-1,0.0
1693541135,Innova-1,0.0
1693541137,Innova-1,0.0
1693541139,Innova-1,0.0
1693541142,Innova-1,0.0
1693541144,Innova-1,0.0
1693541146,Innova-1,0.0
1693541148,Innova-1,0.0
1693541150,Innova-1,0.0
1693541152,Innova-1,0.0
1693541155,Innova-1,0.0
1693541157,Innova-1,0.0
1693541159,Innova-1,0.0
1693541161,Innova-1,0.0
1693541163,Innova-1,0.0
1693541165,Innova-1,0.0
1693541167,Innova-1,0.0
1693541170,Innova-1,0.0
1693541172,Innova-1,0.0
1693541174,Innova-1,0.0
1693541177,Innova-1,0.0
1693541179,Innova-1,0.0
1693541181,Innova-1,0.0
1693541183,Innova-1,0.0
1693541185,Innova-1,0.0
1693541187,Innova-1,0.0
1693541189,Innova-1,0.0
1693541192,Innova-1,0.0
1693541195,Innova-1,0.0
1693541197,Innova-1,0.0
1693541199,Innova-1,0.0
1693541202,Innova-1,0.0
1693541204,Innova-1,0.0
1693541210,Innova-1,0.0
1693541212,Innova-1,0.0
1693541215,Innova-1,0.0
1693541217,Innova-1,0.0
1693541220,Innova-1,0.0
1693541223,Innova-1,0.0
1693541225,Innova-1,0.0
1693541227,Innova-1,0.0
1693541229,Innova-1,0.0
1693541231,Innova-1,0.0
1693541233,Innova-1,0.0
1693541236,Innova-1,0.0
1693541238,Innova-1,0.0
1693541240,Innova-1,0.0
1693541242,Innova-1,0.0
1693541244,Innova-1,0.0
1693541246,Innova-1,0.0
1693541248,Innova-1,0.0
1693541250,Innova-1,0.0
1693541253,Innova-1,0.0
1693541255,Innova-1,0.0
1693541257,Innova-1,0.0
1693541259,Innova-1,0.0
1693541262,Innova-1,0.0
1693541264,Innova-1,0.0
1693541266,Innova-1,0.0
1693541268,Innova-1,0.0
1693541270,Innova-1,0.0
1693541272,Innova-1,0.0
1693541275,Innova-1,0.0
1693541277,Innova-1,0.0
1693541279,Innova-1,0.0
1693541281,Innova-1,0.0
1693541283,Innova-1,0.0
1693541285,Innova-1,0.0
1693541288,Innova-1,0.0
1693541290,Innova-1,0.0
1693541292,Innova-1,0.0
1693541294,Innova-1,0.0
1693541296,Innova-1,0.0
1693541298,Innova-1,0.0
1693541300,Innova-1,0.0
1693541303,Innova-1,0.0
1693541305,Innova-1,0.0
1693541307,Innova-1,0.0
1693541309,Innova-1,0.0
1693541311,Innova-1,0.0
1693541314,Innova-1,0.0
1693541316,Innova-1,0.0
1693541318,Innova-1,0.0
1693541320,Innova-1,0.0
1693541322,Innova-1,0.0
1693541325,Innova-1,0.0
1693541327,Innova-1,0.0
1693541329,Innova-1,0.0
1693541331,Innova-1,0.0
1693541334,Innova-1,0.0
1693541336,Innova-1,0.0
1693541338,Innova-1,0.0
1693541340,Innova-1,0.0
1693541342,Innova-1,0.0
